Episode,Score
1,624
2,564
3,496
4,712
5,2268
6,344
7,1352
8,1000
9,812
10,1188
11,440
12,612
13,2308
14,1316
15,1400
16,2132
17,692
18,1420
19,688
20,716
21,1328
22,660
23,1640
24,992
25,1400
26,2408
27,2352
28,1296
29,1048
30,1972
31,1476
32,716
33,1272
34,600
35,676
36,1336
37,1624
38,1156
39,684
40,1180
41,724
42,2436
43,1432
44,1488
45,608
46,1396
47,972
48,1252
49,2252
50,976
51,2632
52,856
53,1316
54,1248
55,2708
56,1428
57,804
58,992
59,1100
60,1024
61,608
62,632
63,640
64,700
65,1104
66,480
67,1508
68,1080
69,1340
70,252
71,1528
72,700
73,332
74,1220
75,1812
76,524
77,956
78,2360
79,2220
80,1340
81,1156
82,768
83,912
84,620
85,2412
86,348
87,1540
88,1288
89,1112
90,1240
91,1336
92,1428
93,468
94,636
95,556
96,1044
97,1292
98,976
99,1008
100,1592
101,1380
102,1356
103,1252
104,712
105,1120
106,636
107,1872
108,636
109,384
110,1340
111,804
112,900
113,748
114,652
115,1020
116,1228
117,664
118,524
119,492
120,732
121,2428
122,1052
123,616
124,2412
125,1528
126,488
127,660
128,824
129,1352
130,1328
131,1024
132,916
133,972
134,376
135,736
136,1028
137,1796
138,1384
139,1552
140,1344
141,748
142,1412
143,1480
144,1064
145,768
146,1188
147,1360
148,848
149,668
150,1344
151,768
152,876
153,1476
154,2076
155,820
156,1400
157,1040
158,1352
159,2424
160,680
161,532
162,536
163,1484
164,776
165,820
166,2324
167,1360
168,1604
169,852
170,1408
171,620
172,492
173,1132
174,940
175,824
176,1024
177,1112
178,1440
179,1360
180,416
181,600
182,888
183,1436
184,1368
185,756
186,1272
187,2156
188,1028
189,1448
190,1080
191,1284
192,672
193,1336
194,624
195,780
196,564
197,384
198,1076
199,1224
200,888
201,1280
202,1240
203,468
204,1520
205,548
206,884
207,1508
208,648
209,512
210,1412
211,716
212,1000
213,1644
214,1204
215,680
216,1248
217,1368
218,916
219,460
220,1348
221,2064
222,2136
223,672
224,520
225,792
226,356
227,404
228,864
229,772
230,1240
231,1384
232,604
233,648
234,1264
235,1076
236,764
237,1192
238,1352
239,440
240,636
241,736
242,432
243,1356
244,612
245,964
246,1288
247,1632
248,684
249,1524
250,1336
251,1080
252,780
253,1312
254,964
255,1344
256,696
257,1512
258,2960
259,956
260,1260
261,352
262,1156
263,1076
264,836
265,500
266,672
267,3128
268,756
269,512
270,1048
271,684
272,908
273,664
274,1440
275,2476
276,1268
277,568
278,812
279,1320
280,864
281,1404
282,1084
283,1488
284,588
285,1468
286,1268
287,604
288,1288
289,452
290,1016
291,1488
292,1216
293,2216
294,684
295,516
296,724
297,1736
298,2140
299,588
300,1100
301,592
302,1732
303,988
304,1144
305,1812
306,2336
307,2948
308,600
309,276
310,552
311,564
312,968
313,700
314,1040
315,376
316,836
317,1316
318,1792
319,572
320,1048
321,1148
322,932
323,340
324,364
325,1060
326,1024
327,524
328,1308
329,1356
330,1120
331,1216
332,1472
333,764
334,464
335,868
336,1288
337,1432
338,580
339,788
340,2392
341,1540
342,1128
343,1344
344,376
345,1420
346,1428
347,1440
348,1432
349,1404
350,1224
351,728
352,1612
353,596
354,1164
355,1384
356,680
357,1752
358,1140
359,1312
360,1040
361,1344
362,1020
363,604
364,684
365,1064
