Episode,Score
0,1436.0
1,652.0
2,872.0
3,1152.0
4,1000.0
5,1340.0
6,720.0
7,1164.0
8,528.0
9,1056.0
10,2312.0
11,492.0
12,1412.0
13,1316.0
14,1096.0
15,924.0
16,1012.0
17,1328.0
18,1232.0
19,1244.0
20,552.0
21,876.0
22,984.0
23,680.0
24,920.0
25,1428.0
26,324.0
27,1156.0
28,2308.0
29,472.0
30,688.0
31,1128.0
32,1276.0
33,536.0
34,1532.0
35,812.0
36,188.0
37,1284.0
38,1436.0
39,1084.0
40,1180.0
41,1108.0
42,804.0
43,1024.0
44,1288.0
45,1276.0
46,1604.0
47,916.0
48,732.0
49,1000.0
50,1148.0
51,612.0
52,728.0
53,668.0
54,1264.0
55,1048.0
56,2100.0
57,1064.0
58,1324.0
59,2452.0
60,896.0
61,324.0
62,228.0
63,1636.0
64,3008.0
65,1444.0
66,944.0
67,1464.0
68,1884.0
69,544.0
70,268.0
71,1160.0
72,696.0
73,708.0
74,384.0
75,732.0
76,3468.0
77,1280.0
78,1812.0
79,1288.0
80,1436.0
81,444.0
82,944.0
83,600.0
84,680.0
85,688.0
86,456.0
87,612.0
88,1332.0
89,632.0
90,1004.0
91,2556.0
92,680.0
93,1644.0
94,600.0
95,1424.0
96,1372.0
97,1276.0
98,1600.0
99,1020.0
100,764.0
101,824.0
102,816.0
103,1348.0
104,1096.0
105,1116.0
106,896.0
107,1336.0
108,412.0
109,1736.0
110,1132.0
111,1380.0
112,2180.0
113,1268.0
114,668.0
115,1352.0
116,696.0
117,1340.0
118,428.0
119,1140.0
120,1992.0
121,436.0
122,1272.0
123,1504.0
124,1140.0
125,828.0
126,564.0
127,492.0
128,696.0
129,736.0
130,948.0
131,480.0
132,656.0
133,1340.0
134,1448.0
135,1448.0
136,712.0
137,1276.0
138,1612.0
139,644.0
140,1392.0
141,1312.0
142,1508.0
143,1316.0
144,1160.0
145,1752.0
146,1540.0
147,616.0
148,504.0
149,1100.0
150,320.0
151,1344.0
152,1316.0
153,304.0
154,588.0
155,764.0
156,1340.0
157,1008.0
158,1148.0
159,1132.0
160,1432.0
161,1220.0
162,736.0
163,1452.0
164,1164.0
165,1140.0
166,1052.0
167,1036.0
168,1292.0
